loss,iou,test_loss,test_iou
0.19620464231117782,0.4783840149773201,0.12264141999185085,0.5675698268276296
0.10293287079561662,0.5880530486580263,0.0866772142042847,0.6013852075281504
0.08112540593383466,0.6022004405767266,0.06459664901424396,0.6003949837268967
0.06826483185008135,0.6099539020029056,0.0726114719812023,0.5904806412903494
0.06011979968462334,0.61409300458438,0.06220824577796616,0.6090063662513306
0.05472170450680312,0.6169012306498832,0.052279185307653325,0.6125398967905265
0.04623181654178366,0.6233001534030889,0.051725857915650854,0.6191361036249682
0.04532647923969763,0.6244029261577292,0.05735863365330979,0.6144574765900248
0.04217206424549898,0.6273756691184985,0.05483210836782267,0.6127072361935126
0.03832714022570152,0.6285385252684017,0.06045095707093807,0.6148771602954519
0.031915203904703496,0.6338514911640191,0.05452904391935781,0.6154382271496089
0.029743944267296738,0.6368981774583831,0.05476359666423186,0.631217106490543
0.030134406999860152,0.6363521056237067,0.06384162284973029,0.6217553988099098
0.025469204468986276,0.6396609450523613,0.06193041084579339,0.6140976940820876
0.029056504298035316,0.6398406968728688,0.047147567187877076,0.6323256115184018
0.022937305909401975,0.6450522036509179,0.05071532233667217,0.6231785199948048
0.022372886985160257,0.6465387149310572,0.05206687959205163,0.6285841370883741
0.02159873990113942,0.64831158556382,0.059110693511013924,0.6180256903171539
0.02218497072847015,0.6488620154644086,0.0587763863885285,0.6270365086139033
0.019765018806486578,0.6540256983551984,0.06112352892217275,0.6128493439112055
0.019738308003049793,0.6521481606864334,0.06014440901038286,0.6367916486373073
0.01993162810692644,0.6559124328111575,0.05321200326771328,0.636522127315402
0.017201219023313043,0.6630738396746636,0.05031506071406368,0.6396655873640588
0.023032869326368888,0.6542295441580535,0.05918109175553055,0.6398694406410581
0.017516671019963195,0.6652278107107361,0.05121409771718869,0.650008061606633
0.017558090097340596,0.6670320799950163,0.05935019325759066,0.6382596367283871
0.01527379236929541,0.6740066731293726,0.05636954979088746,0.634068298692766
0.015626750877992906,0.673012615914315,0.06299882583124072,0.6218611764182386
0.01770236491291127,0.6680807122145516,0.05469765788630435,0.648124223378928
0.014701887100402797,0.6796079044633644,0.06518996400317471,0.6372845046418277
